EA,CLS,SENT,ASP
RESTAURANT#GENERAL,-1,"judging from previous posts this used to be a good place , but not any longer .",general
SERVICE#GENERAL,-1,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",general
SERVICE#GENERAL,-1,"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",general
FOOD#QUALITY,-1,the food was lousy - too sweet or too salty and the portions tiny .,quality
FOOD#STYLE_OPTIONS,-1,the food was lousy - too sweet or too salty and the portions tiny .,options
SERVICE#GENERAL,-1,"after all that , they complained to me about the small tip .",general
RESTAURANT#GENERAL,-1,avoid this place !,general
FOOD#QUALITY,1,"i have eaten at saul , many times , the food is always consistently , outrageously good .",quality
RESTAURANT#GENERAL,1,saul is the best restaurant on smith street and in brooklyn .,general
FOOD#QUALITY,1,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,quality
FOOD#QUALITY,1,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,quality
DRINKS#STYLE_OPTIONS,1,the wine list is interesting and has many good values .,options
DRINKS#PRICES,1,the wine list is interesting and has many good values .,prices
RESTAURANT#PRICES,1,"for the price , you can not eat this well in manhattan .",prices
FOOD#QUALITY,1,"for the price , you can not eat this well in manhattan .",quality
RESTAURANT#GENERAL,-1,i was very disappointed with this restaurant .,general
SERVICE#GENERAL,-1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,general
SERVICE#GENERAL,-1,i had to ask her three times before she finally came back with the dish ive requested .,general
FOOD#QUALITY,0,"food was okay , nothing great .",quality
FOOD#QUALITY,-1,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,quality
FOOD#QUALITY,-1,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,quality
AMBIENCE#GENERAL,-1,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,general
RESTAURANT#GENERAL,-1,i/we will never go back to this place again .,general
RESTAURANT#GENERAL,1,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",general
SERVICE#GENERAL,1,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",general
FOOD#QUALITY,1,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",quality
RESTAURANT#PRICES,1,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",prices
RESTAURANT#GENERAL,1,you ca n't go wrong here .,general
RESTAURANT#GENERAL,1,every time in new york i make it a point to visit restaurant saul on smith street .,general
FOOD#QUALITY,1,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",quality
SERVICE#GENERAL,1,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",general
AMBIENCE#GENERAL,1,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",general
FOOD#QUALITY,1,i had the duck breast special on my last visit and it was incredible .,quality
RESTAURANT#GENERAL,1,ca n't wait wait for my next visit .,general
RESTAURANT#GENERAL,-1,and i hate to say this but i doubt i 'll ever go back .,general
FOOD#QUALITY,-1,"the food is very average ... the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",quality
FOOD#QUALITY,-1,"the food is very average ... the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",quality
FOOD#QUALITY,-1,"the food is very average ... the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",quality
FOOD#QUALITY,1,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,quality
FOOD#QUALITY,1,i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) .,quality
FOOD#STYLE_OPTIONS,1,i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) .,options
AMBIENCE#GENERAL,-1,"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",general
AMBIENCE#GENERAL,1,"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",general
AMBIENCE#GENERAL,-1,"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",general
DRINKS#STYLE_OPTIONS,1,"their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request !",options
SERVICE#GENERAL,1,"their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request !",general
FOOD#QUALITY,1,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",quality
FOOD#QUALITY,1,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",quality
SERVICE#GENERAL,1,we went around 9:30 on a friday and it had died down a bit by then so the service was great !,general
RESTAURANT#GENERAL,1,we love th pink pony .,general
RESTAURANT#GENERAL,1,the perfect spot .,general
FOOD#QUALITY,1,food-awesome .,quality
SERVICE#GENERAL,1,service- friendly and attentive .,general
AMBIENCE#GENERAL,1,ambiance- relaxed and stylish .,general
RESTAURANT#GENERAL,1,"do n't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",general
FOOD#QUALITY,0,the food is decent .,quality
SERVICE#GENERAL,-1,"however , it 's the service that leaves a bad taste in my mouth .",general
SERVICE#GENERAL,-1,"i happen to have a policy that goes along with a little bit of self-respect , which includes not letting a waiter intimidate me , i.e . make me feel bad asking for trivialities like water , or the check .",general
SERVICE#GENERAL,-1,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i 'm here to eat and enjoy the company of friends , seeking a pleasant experience .",general
RESTAURANT#GENERAL,-1,"well , i did n't find it there , and trust , i have told everyone i can think of about my experience .",general
RESTAURANT#MISCELLANEOUS,-1,the last time i walked by it looked pretty empty . hmmm .,miscellaneous
RESTAURANT#GENERAL,1,this place has got to be the best japanese restaurant in the new york area .,general
RESTAURANT#GENERAL,1,i had a great experience .,general
FOOD#QUALITY,1,food is great .,quality
SERVICE#GENERAL,1,service is top notch .,general
RESTAURANT#GENERAL,1,i have been going back again and again .,general
FOOD#QUALITY,1,"i tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",quality
FOOD#QUALITY,1,"it melted in my little mouth and the perfect consistency-not too fishy , creamy , and slightly buttery .",quality
FOOD#QUALITY,1,the sushi seemed pretty fresh and was adequately proportioned .,quality
FOOD#STYLE_OPTIONS,1,the sushi seemed pretty fresh and was adequately proportioned .,options
FOOD#STYLE_OPTIONS,1,the rice to fish ration was also good -- they did n't try to overpack the rice .,options
FOOD#QUALITY,1,we took advanatage of the half price sushi deal on saturday so it was well worth it .,quality
RESTAURANT#MISCELLANEOUS,1,surprisingly nothing could be further from the truth .,miscellaneous
RESTAURANT#MISCELLANEOUS,1,"in the evening , this place attracted a well dressed , with it , ny crowd .",miscellaneous
FOOD#QUALITY,1,the food was well prepared and the service impecable .,quality
SERVICE#GENERAL,1,the food was well prepared and the service impecable .,general
RESTAURANT#GENERAL,1,i 'm going back .,general
AMBIENCE#GENERAL,1,quite simply it 's like stepping out of manhattan and into a haven of tranquility .,general
FOOD#QUALITY,1,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .,quality
FOOD#STYLE_OPTIONS,1,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .,options
FOOD#PRICES,1,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .,prices
RESTAURANT#GENERAL,1,i will be going back and heartily recommend it !,general
